timestamp,tweet_text,username,all_hashtags,followers_count
2020-11-12 15:59:03,"b'@KapilSharmaK9 @sherryontopp Yes, he is the same Paji who was praising the prime minister of terroristan. No wonder why you are having #pranthas with such a traitor.'",b'RKtalk2',['pranthas'],0
2020-11-12 14:32:50,"b""As they say, 'a lot can happen over coffee' @KapilSharmaK9 you seem to suggest, 'a lot more can happen over #pranthas '!!\xf0\x9f\x99\x82\xf0\x9f\xa4\xad\xf0\x9f\x98\x85\xf0\x9f\x98\x9d\xf0\x9f\x98\x82\xf0\x9f\x98\x86\xf0\x9f\xa4\xa3 @sherryontopp https://t.co/c8IGnAm8lA""",b'NungshiTashi',['pranthas'],296952
2020-11-11 14:42:56,b'@KapilSharmaK9 @sherryontopp @KapilSharmaK9\xe2\x9d\xa4@KapilSharmaK9 #WednesdayMotivation \xf0\x9f\x98\x98\xf0\x9f\x98\x8d\xf0\x9f\x98\x98\xf0\x9f\x98\x8d\xf0\x9f\x98\x98#WednesdayThoughts \xf0\x9f\x98\x8d\xf0\x9f\x98\x98\xf0\x9f\x98\x8d\xf0\x9f\x98\x98\xf0\x9f\x98\x8d #StayHomeStaySafe #StayHome  #IndiaFightsCorona #coronavirus \xf0\x9f\x91\x8d  @sherryontopp Paji. #Pranthas \xf0\x9f\x91\x8d\xf0\x9f\xa4\x99 Wow...How Sweet \xf0\x9f\x98\x8a\xf0\x9f\x98\x98\xf0\x9f\x98\x8a\xf0\x9f\x98\x98\xf0\x9f\x98\x8a\xf0\x9f\x98\x98\xf0\x9f\x98\x8a Love All of you. \xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4 https://t.co/gKrEN62qPn',b'AnkushK60974550',"['WednesdayMotivation', 'WednesdayThoughts', 'StayHomeStaySafe', 'StayHome', 'IndiaFightsCorona', 'coronavirus', 'Pranthas']",284
2020-11-11 14:08:19,b'@KapilSharmaK9 @sherryontopp #boycottkapilsharmashow.. Eating #pranthas with gaddars',b'dipankar8180',"['boycottkapilsharmashow', 'pranthas']",52
2020-11-11 13:48:05,b'Meeting @sherryontopp paji  n eating #pranthas after a long time \xf0\x9f\xa4\x97\xf0\x9f\xa4\x9f https://t.co/un5Q7fub2q',b'KapilSharmaK9',['pranthas'],17462948
