timestamp,tweet_text,username,all_hashtags,followers_count
2020-11-19 11:25:07,"b""Wearing a mask is the most patriotic thing we can do right now.  Even if we aren't concerned about our own lives, we can help protect others.  It's a sign of respect to our Citizens, City &amp; Nation #Covid_19 #Delhicorona @NidhiKNDTV \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc""",b'AjaySinghArora1',"['Covid_19', 'Delhicorona']",6
2020-11-19 11:23:28,"b'Please @HDFCBank_Cares @HDFC_Bank I request to close my credit card. No more wanted your services. After spending more than 4Hrs I was fortunate to connect with your world class CS &amp; they told me 2 pay the 4 closure amount of 47,773 which already paid. #Delhicorona #1in50Million https://t.co/2oETJJQASq'",b'seinmenschlich',"['Delhicorona', '1in50Million']",1
2020-11-19 11:21:19,"b""By increasing number of beds &amp; changing fine from \xe2\x82\xb9500 to \xe2\x82\xb92000 ,will they be able to control rise in #Corona cases? I guess increasing bed will surely help who are facing major health issue but what should have been focus was to make sure it doesn't spread more. #Delhicorona""",b'14Varun',"['Corona', 'Delhicorona']",189
2020-11-19 11:19:43,b'Kejriwal increased fine for not wearing mask from 500 \xe2\x82\xb9 to 2000 \xe2\x82\xb9  le public: #delhicorona  #Delhicorona https://t.co/17rtISWaVy',b'Simranlessly',"['delhicorona', 'Delhicorona']",92
2020-11-19 11:18:55,b'Now Delhiites will wear the mask just like they wear the helmets  ~  To save themselves from the fine Rs. 2000 now onwards !!    #COVID19 #Delhicorona #mask  #Delhicorona https://t.co/lIpJd249L0',b'Simranlessly',"['COVID19', 'Delhicorona', 'mask', 'Delhicorona']",92
2020-11-19 11:17:16,b'Delhi have 21% of total COVID deaths in country and DELHI govt increased fine for not wearing mask to 2000 from 500 . I am sure now COVID cases will decline ...... Lucky to have such leaders \xf0\x9f\x98\x82 #Delhicorona  #DelhiLockdown https://t.co/0V6I5GeQS1',b'naveens47422874',"['Delhicorona', 'DelhiLockdown']",8
2020-11-19 11:17:14,b'#Delhicorona  Cases are increasing !!!!!!   #Delhicorona https://t.co/wfgVBfONYA',b'Simranlessly',"['Delhicorona', 'Delhicorona']",92
2020-11-19 11:17:05,b'#Delhicorona @SatyendarJain @AamAadmiParty Shame on you guys. You call urselfves able.  https://t.co/zhrmlsu5uI',b'followSRaina',['Delhicorona'],45
2020-11-19 11:14:37,"b'Fine For Not Wearing Mask In Delhi Raised To \xe2\x82\xb92,000  #Facemask #Delhicorona #ArvindKejriwal  https://t.co/lO8U32IpCs'",b'LokMarg',"['Facemask', 'Delhicorona', 'ArvindKejriwal']",1490
2020-11-19 11:14:21,"b""@ArvindKejriwal  \xe0\xa4\xac\xe0\xa4\xbf\xe0\xa4\xa8\xe0\xa4\xbe mask \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa5\xa8\xe0\xa5\xa6\xe0\xa5\xa6\xe0\xa5\xa6 \xe0\xa4\x95\xe0\xa4\xbe Fine is fine.  \xe0\xa4\xb2\xe0\xa5\x87\xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xa8 non -availibility of N-95 masks is not so fine.  Kindly arrange masks for those who can't afford a new mask everyday.   #Delhigovernment  #Delhicorona #DelhiFightsCorona #MaskOn #CoronavirusIndia""",b'rishabh9tyagi',"['Delhigovernment', 'Delhicorona', 'DelhiFightsCorona', 'MaskOn', 'CoronavirusIndia']",15
2020-11-19 11:09:11,"b'Ready to pay the fine of Rs 2000 for not wearing the mask.\xf0\x9f\x98\xb3 Else, Wear mask and be Safe and keep others safe too from Corona virus.\xf0\x9f\x99\x8f #Delhi  #Delhicorona https://t.co/VVGcXXfNDE'",b'MauryaRaxl',"['Delhi', 'Delhicorona']",9
2020-11-19 11:09:04,b'Lock down start \xf0\x9f\xa4\xad\xf0\x9f\xa4\xad\xf0\x9f\x99\x88\xf0\x9f\x99\x88 #Delhicorona https://t.co/wlgtqE9u4n',b'GsDevil3',['Delhicorona'],140
2020-11-19 11:07:53,b'You can cringe over your decisions while overthinking when you are outdoors. Wear your mask. #CoronaVirusUpdates #Delhicorona  #WearAMask',b'DivyaKurava',"['CoronaVirusUpdates', 'Delhicorona', 'WearAMask']",9
2020-11-19 11:04:51,b'From Here to Here We have come a Long way. This is power of Your Vote.  #YogiAdityanath  #Delhicorona https://t.co/6NiHHbbHT9',b'vskutwal7',"['YogiAdityanath', 'Delhicorona']",745
2020-11-19 11:00:04,b'Wish @ArvindKejriwal was serious from May/June onwards. Situation has become very critical now.  #Delhicorona https://t.co/L9PtfohSzJ',b'amarDgreat',['Delhicorona'],1610
2020-11-19 11:00:03,"b'#Delhicorona DL vs UP Population: 3.05 CR vs 23.15 CR Confirmed Cases: 5.03L vs 5.16L Active C: 42,458 vs 21,954 Recovered C: 4,52,683 vs 4,87,221 Deceased: 7,943 vs 7,441 Tests Conducted: 55,90,654 vs 1,73,21,490  Yogiji didn\xe2\x80\x99t take help from Amit Shah twice.  And: \xf0\x9f\x91\x87 https://t.co/HhZJ80WCpn'",b'SanghiSharmajr',['Delhicorona'],34
2020-11-19 10:59:54,b'Pliss wear mask  #Delhicorona https://t.co/gN5jk3AGrf',b'SansPareilll',['Delhicorona'],138
2020-11-19 10:57:54,"b'@ReallySwara @AamAadmiParty #Delhi Govt. is extensively advertising its #Delhicorona  achievements, #DelhiAirQuality achievements in #Republic Network channels..  Would you stop using #DelhiGovt ?  #Zomato https://t.co/r2OlQP67M3'",b'Rappudada',"['Delhi', 'Delhicorona', 'DelhiAirQuality', 'Republic', 'DelhiGovt', 'Zomato']",2004
2020-11-19 10:57:38,b'#Delhicorona rising rising rising',b'Jainpankajkasan',['Delhicorona'],4235
2020-11-19 10:57:25,"b'Take care, Delhi! #Delhicorona \xf0\x9f\x99\x8f https://t.co/x9KKm714Qk'",b'MahimaK_k',['Delhicorona'],560
2020-11-19 10:55:11,b'Mask \xf0\x9f\x91\x87 Re-breath CO\xc2\xb2 constantly \xf0\x9f\x91\x87 Sensitive throat (itch) &amp; weak lungs \xf0\x9f\x91\x87 Ultimately affects immunity &amp; may cause bacterial pneumonia \xf0\x9f\x91\x87 Further affecting brain &amp; other body functions too \xf0\x9f\x91\x87 Rest fear will do now.  Congrats! You became a customer for Big Pharma.  #Delhicorona https://t.co/NwRr6jq8AX',b'newindia_in',['Delhicorona'],53
2020-11-19 10:49:59,b'People in #delhi dying no one cares #Delhicorona',b'Jainpankajkasan',"['delhi', 'Delhicorona']",4235
2020-11-19 10:48:40,b'#Delhicorona on #Kejriwal gone',b'Jainpankajkasan',"['Delhicorona', 'Kejriwal']",4235
2020-11-19 10:48:00,b'A short lockdown even a week needed to wake up #Delhi from slumber. Hammer &amp; dance approach. Presently only dance!  #Delhicorona @ArvinderSoin @ArvindKejriwal @GKangInd  You r dealing with a 2 crore population which defied a #FirecrackersBan !!!!! Get that! @VishnuNDTV @NCDCgov https://t.co/KLa1fCq680',b'eagle_mist',"['Delhi', 'Delhicorona', 'FirecrackersBan']",242
2020-11-19 10:47:20,b'imagine if cases was increased  in up then they must do politics .  #Delhicorona https://t.co/1OEbDDWYbL',b'memeskashowroo2',['Delhicorona'],7
