Timestamp,Heading,Users,hashtag,Follower_count
19-11-2020 11:34,"@ArvindKejriwal @SatyendarJain @AamAadmiParty @AAPDelhi @msisodia @CMODelhi @DelhiVsCorona   Thanks 2 d team of Delhi govt, Doctors &amp; MCd team 4 all ur support during my covid period, especially mental support &amp; tips.   #Corona #DelhiFightsCorona #Delhicorona #COVID19 #COVID\xe3\x83\xbc19 https://t.co/RA2srv85NY'",chadhashiva',"['Corona', 'DelhiFightsCorona', 'Delhicorona', 'COVID19', 'COVIDãƒ¼19']",352
19-11-2020 11:28,"b'Just month back Kejriwal was seeking another international award for #DelhiCoronaModel, now still the #Delhicorona talk of town, Delhi and Kerala with Rajasthan are incubator states of #Corona ;  Gross failure of both the central and Delhi Govts! Rs 500 Rs 2000'",b'umakantsingh_IN',"['DelhiCoronaModel', 'Delhicorona', 'Corona']",557
19-11-2020 11:25,"""Wearing a mask is the most patriotic thing we can do right now.  Even if we aren't concerned about our own lives, we can help protect others.  It's a sign of respect to our Citizens, City &amp; Nation #Covid_19 #Delhicorona @NidhiKNDTV \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc""",AjaySinghArora1',"['Covid_19', 'Delhicorona']",6
19-11-2020 11:23,"Please @HDFCBank_Cares @HDFC_Bank I request to close my credit card. No more wanted your services. After spending more than 4Hrs I was fortunate to connect with your world class CS &amp; they told me 2 pay the 4 closure amount of 47,773 which already paid. #Delhicorona #1in50Million https://t.co/2oETJJQASq'",seinmenschlich',"['Delhicorona', '1in50Million']",1
19-11-2020 11:21,"""By increasing number of beds &amp; changing fine from \xe2\x82\xb9500 to \xe2\x82\xb92000 ,will they be able to control rise in #Corona cases? I guess increasing bed will surely help who are facing major health issue but what should have been focus was to make sure it doesn't spread more. #Delhicorona""",14Varun',"['Corona', 'Delhicorona']",189
19-11-2020 11:19,Kejriwal increased fine for not wearing mask from 500 \xe2\x82\xb9 to 2000 \xe2\x82\xb9  le public: #delhicorona  #Delhicorona https://t.co/17rtISWaVy',Simranlessly',"['delhicorona', 'Delhicorona']",92
19-11-2020 11:18,Now Delhiites will wear the mask just like they wear the helmets  ~  To save themselves from the fine Rs. 2000 now onwards !!    #COVID19 #Delhicorona #mask  #Delhicorona https://t.co/lIpJd249L0',Simranlessly',"['COVID19', 'Delhicorona', 'mask', 'Delhicorona']",92
19-11-2020 11:17,Delhi have 21% of total COVID deaths in country and DELHI govt increased fine for not wearing mask to 2000 from 500 . I am sure now COVID cases will decline ...... Lucky to have such leaders \xf0\x9f\x98\x82 #Delhicorona  #DelhiLockdown https://t.co/0V6I5GeQS1',naveens47422874',"['Delhicorona', 'DelhiLockdown']",8
19-11-2020 11:17,#Delhicorona  Cases are increasing !!!!!!   #Delhicorona https://t.co/wfgVBfONYA',Simranlessly',"['Delhicorona', 'Delhicorona']",92
19-11-2020 11:17,#Delhicorona @SatyendarJain @AamAadmiParty Shame on you guys. You call urselfves able.  https://t.co/zhrmlsu5uI',followSRaina',['Delhicorona'],45
19-11-2020 11:14,"Fine For Not Wearing Mask In Delhi Raised To \xe2\x82\xb92,000  #Facemask #Delhicorona #ArvindKejriwal  https://t.co/lO8U32IpCs'",LokMarg',"['Facemask', 'Delhicorona', 'ArvindKejriwal']",1490
19-11-2020 11:14,"""@ArvindKejriwal  \xe0\xa4\xac\xe0\xa4\xbf\xe0\xa4\xa8\xe0\xa4\xbe mask \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa5\xa8\xe0\xa5\xa6\xe0\xa5\xa6\xe0\xa5\xa6 \xe0\xa4\x95\xe0\xa4\xbe Fine is fine.  \xe0\xa4\xb2\xe0\xa5\x87\xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xa8 non -availibility of N-95 masks is not so fine.  Kindly arrange masks for those who can't afford a new mask everyday.   #Delhigovernment  #Delhicorona #DelhiFightsCorona #MaskOn #CoronavirusIndia""",rishabh9tyagi',"['Delhigovernment', 'Delhicorona', 'DelhiFightsCorona', 'MaskOn', 'CoronavirusIndia']",15
19-11-2020 11:09,"Ready to pay the fine of Rs 2000 for not wearing the mask.\xf0\x9f\x98\xb3 Else, Wear mask and be Safe and keep others safe too from Corona virus.\xf0\x9f\x99\x8f #Delhi  #Delhicorona https://t.co/VVGcXXfNDE'",MauryaRaxl',"['Delhi', 'Delhicorona']",9
19-11-2020 11:09,Lock down start \xf0\x9f\xa4\xad\xf0\x9f\xa4\xad\xf0\x9f\x99\x88\xf0\x9f\x99\x88 #Delhicorona https://t.co/wlgtqE9u4n',GsDevil3',['Delhicorona'],140
19-11-2020 11:07,You can cringe over your decisions while overthinking when you are outdoors. Wear your mask. #CoronaVirusUpdates #Delhicorona  #WearAMask',DivyaKurava',"['CoronaVirusUpdates', 'Delhicorona', 'WearAMask']",9
19-11-2020 11:04,From Here to Here We have come a Long way. This is power of Your Vote.  #YogiAdityanath  #Delhicorona https://t.co/6NiHHbbHT9',vskutwal7',"['YogiAdityanath', 'Delhicorona']",745
19-11-2020 11:00,Wish @ArvindKejriwal was serious from May/June onwards. Situation has become very critical now.  #Delhicorona https://t.co/L9PtfohSzJ',amarDgreat',['Delhicorona'],1610
19-11-2020 11:00,"#Delhicorona DL vs UP Population: 3.05 CR vs 23.15 CR Confirmed Cases: 5.03L vs 5.16L Active C: 42,458 vs 21,954 Recovered C: 4,52,683 vs 4,87,221 Deceased: 7,943 vs 7,441 Tests Conducted: 55,90,654 vs 1,73,21,490  Yogiji didn\xe2\x80\x99t take help from Amit Shah twice.  And: \xf0\x9f\x91\x87 https://t.co/HhZJ80WCpn'",SanghiSharmajr',['Delhicorona'],34
19-11-2020 10:59,Pliss wear mask  #Delhicorona https://t.co/gN5jk3AGrf',SansPareilll',['Delhicorona'],138
19-11-2020 10:57,"@ReallySwara @AamAadmiParty #Delhi Govt. is extensively advertising its #Delhicorona  achievements, #DelhiAirQuality achievements in #Republic Network channels..  Would you stop using #DelhiGovt ?  #Zomato https://t.co/r2OlQP67M3'",Rappudada',"['Delhi', 'Delhicorona', 'DelhiAirQuality', 'Republic', 'DelhiGovt', 'Zomato']",2004
19-11-2020 10:57,#Delhicorona rising rising rising',Jainpankajkasan',['Delhicorona'],4235
19-11-2020 10:57,"Take care, Delhi! #Delhicorona \xf0\x9f\x99\x8f https://t.co/x9KKm714Qk'",MahimaK_k',['Delhicorona'],560
