timestamp,tweet_text,username,all_hashtags,followers_count
2020-11-20 17:30:08,b'According to the witness affidavit of a high ranking military officer the #Smartmatic Voting machines were specifically designed in a way that the system could change the vote of each voter without being detected in order to steal #USAElections2020 https://t.co/JFl87UsqsZ',b'GreatGameIndia',"['Smartmatic', 'USAElections2020']",22731
2020-11-20 17:02:10,b'Quite an interesting thread from @EdwardNorton . #USAElections2020 https://t.co/DUdmkU3aPV',b'addhyan_pandey',['USAElections2020'],401
2020-11-20 17:01:47,b'Bully n chief &amp; racist in chief tryin his dam-nest 2 change the election results! Whether he kills us all off w/COVID19 #GOPGenocide #USAGenocide #Genocide This is what it is; stayUP #Resist #Ohio #USAElections2020 https://t.co/5qQB8B8cJt',b'blue_resist513',"['GOPGenocide', 'USAGenocide', 'Genocide', 'Resist', 'Ohio', 'USAElections2020']",119
2020-11-20 16:59:33,b'Good grief... How many times has @realDonaldTrump lost Georgia??? He must have the worst record for Presidential losses ever now! \xf0\x9f\xa4\xa3  #lovingthis #USAElections2020 #lockdownamusement',b'EqualityCardsUK',"['lovingthis', 'USAElections2020', 'lockdownamusement']",102
2020-11-20 16:58:35,"b""Trump Organization's consulting payments to Ivanka Trump are focus of NY tax probe   https://t.co/NYK1Mo4CvK via @cbsmoneywatch   #USA #America @realDonaldTrump #Election2020 #Elections #ElectionResults2020 #Election2020results @IvankaTrump @CBSNews @NBCNews #USAElections2020""",b'MullerDonUK',"['USA', 'America', 'Election2020', 'Elections', 'ElectionResults2020', 'Election2020results', 'USAElections2020']",130
2020-11-20 16:58:33,"b""And he called a few countries 'shit hole' countries!  Making a #BananaRepublic of the world's oldest #Democracy!  #DonaldTrump #USElections2020 #USAElections2020 https://t.co/xTjQWroX65""",b'thestratink',"['BananaRepublic', 'Democracy', 'DonaldTrump', 'USElections2020', 'USAElections2020']",1
2020-11-20 16:58:02,b'Many more happy returns of the Mr President.. Wish you all success.. With lots of love \xf0\x9f\x92\x95\xf0\x9f\x92\x95 @JoeBiden  #USAElections2020  #JoeBidenKamalaHarris2020  #JoeBiden2020',b'rsadhana88',"['USAElections2020', 'JoeBidenKamalaHarris2020', 'JoeBiden2020']",199
2020-11-20 16:57:52,b'Oh man. @CNN \xf0\x9f\xa4\xad @larryelder \xf0\x9f\x92\xaf One of the best parts of the presser was when Giuliani asked a reporter which publication they were with. They said #CNN. Giuliani and the rest of the team/room cracks into a chorus of laughs.\xf0\x9f\x98\x86 #USAElections2020  #ElectionIntegrity https://t.co/NWqRtIItcl',b'PaapaAbekah',"['CNN', 'USAElections2020', 'ElectionIntegrity']",902
2020-11-20 16:53:50,"b'Trump\'s Lawsuit score is 1x31 with one ""win"" that doesn\'t change anything.  The only place where fraud is massive mentioned are the president\'d Twitter, his marketing materials and blogsphere. #USAElections2020 #VotersDecided #Election2020 #JusticeMatters'",b'emanweb',"['USAElections2020', 'VotersDecided', 'Election2020', 'JusticeMatters']",569
2020-11-20 16:52:47,b'California Governor Attends HUGE Party Without Masks Despite Virus! https://t.co/6rt863tape #EveryVoteCounts #elections #Election2020 #ElectionResults2020 #Biden2020 #Trump2020 #COVID19 #coronavirus #vaccine #vaccination #BillGatesBioTerrorist #eugenics #USAElections2020 #America',b'DRandall',"['EveryVoteCounts', 'elections', 'Election2020', 'ElectionResults2020', 'Biden2020', 'Trump2020', 'COVID19', 'coronavirus', 'vaccine', 'vaccination', 'BillGatesBioTerrorist', 'eugenics', 'USAElections2020', 'America']",1863
2020-11-20 16:51:26,b'The #Republicans are killing #America #Democracy  the way #Putin wants it . #USAElections2020',b'Kennedytrends',"['Republicans', 'America', 'Democracy', 'Putin', 'USAElections2020']",84
2020-11-20 16:50:58,"b'\xe2\x80\x9cDon\xe2\x80\x99t go chasing waterfalls, please stick to the rivers and the lakes that you\xe2\x80\x99re used to. I know that you\xe2\x80\x99re going to have it your way or nothing at all, but I think you\xe2\x80\x99re moving too fast...\xe2\x80\x9d #Guliani #trump #biden #usa #USAElections2020 #election https://t.co/MIRL1c1WkF https://t.co/QKhRelWB5g'",b'bentroadstavern',"['Guliani', 'trump', 'biden', 'usa', 'USAElections2020', 'election']",555
2020-11-20 16:45:59,"b""@realDonaldTrump I'd be embarrassed if something like this happened in British politics. You lost, its over, move on. All you are doing now is making America the laughing stock of the World. #USAElections2020""",b'atheismearth',['USAElections2020'],11
2020-11-20 16:42:37,b'via @NYTimes We now know how you address \xe2\x81\xa6@realDonaldTrump\xe2\x81\xa9 as he slides toward endpoint - Mr \xe2\x80\x98Wannabe\xe2\x80\x99 Fraudulency! #TrumpMeltdown #RudyIsMelting #USAElections2020  https://t.co/BXuG0qaGSD',b'Mabbes1408',"['TrumpMeltdown', 'RudyIsMelting', 'USAElections2020']",1151
2020-11-20 16:39:06,"b'@themilsource Want to join the #Chinese #Communist Party (#CCP)? This US based website Seems very keen on #CCP\xe2\x80\x99s public sales pitch, but ignores human rights abuses &amp; #CCPs self proclaimed stance as an enemy of the #USAElections2020  @appledaily_hk @jenniferatntd @naomirwolf @crossroads_josh https://t.co/RmueodJywI'",b'BrianOSheaSPI',"['Chinese', 'Communist', 'CCP', 'CCP', 'CCPs', 'USAElections2020']",829
